"","i","fundname","Return","T7","T30","T90","T180","T360","T1080","T7200","Sector","All.pc","All.value","Company"
"1",1,"Motilal Oswal MOSt Focused Midcap 30 Fund Direct-Growth","Fund Return",7.17,10.26,19.2,36.66,101.76,NA,NA,"Financial",21.38,82.18,"Motilal"
"2",1,"Motilal Oswal MOSt Focused Midcap 30 Fund Direct-Growth","Fund Return",7.17,10.26,19.2,36.66,101.76,NA,NA,"Engineering",12.63,48.54,"Motilal"
"3",1,"Motilal Oswal MOSt Focused Midcap 30 Fund Direct-Growth","Fund Return",7.17,10.26,19.2,36.66,101.76,NA,NA,"Technology",10.77,41.42,"Motilal"
"4",1,"Motilal Oswal MOSt Focused Midcap 30 Fund Direct-Growth","Fund Return",7.17,10.26,19.2,36.66,101.76,NA,NA,"Healthcare",10.62,40.83,"Motilal"
"5",1,"Motilal Oswal MOSt Focused Midcap 30 Fund Direct-Growth","Fund Return",7.17,10.26,19.2,36.66,101.76,NA,NA,"Services",10.33,39.72,"Motilal"
"6",2,"Motilal Oswal MOSt Focused Midcap 30 Fund Regular-Growth","Fund Return",7.14,10.13,18.77,35.7,99.32,NA,NA,"Financial",21.38,82.18,"Motilal"
"7",2,"Motilal Oswal MOSt Focused Midcap 30 Fund Regular-Growth","Fund Return",7.14,10.13,18.77,35.7,99.32,NA,NA,"Engineering",12.63,48.54,"Motilal"
"8",2,"Motilal Oswal MOSt Focused Midcap 30 Fund Regular-Growth","Fund Return",7.14,10.13,18.77,35.7,99.32,NA,NA,"Technology",10.77,41.42,"Motilal"
"9",2,"Motilal Oswal MOSt Focused Midcap 30 Fund Regular-Growth","Fund Return",7.14,10.13,18.77,35.7,99.32,NA,NA,"Healthcare",10.62,40.83,"Motilal"
"10",2,"Motilal Oswal MOSt Focused Midcap 30 Fund Regular-Growth","Fund Return",7.14,10.13,18.77,35.7,99.32,NA,NA,"Services",10.33,39.72,"Motilal"
"11",60,"Motilal Oswal MOSt Focused Multicap 35 Fund Direct-Growth","Fund Return",5.93,7.64,13.86,35.54,NA,NA,NA,"Financial",29.42,374.91,"Motilal"
"12",60,"Motilal Oswal MOSt Focused Multicap 35 Fund Direct-Growth","Fund Return",5.93,7.64,13.86,35.54,NA,NA,NA,"Automobile",14.83,189.01,"Motilal"
"13",60,"Motilal Oswal MOSt Focused Multicap 35 Fund Direct-Growth","Fund Return",5.93,7.64,13.86,35.54,NA,NA,NA,"FMCG",14.81,188.77,"Motilal"
"14",60,"Motilal Oswal MOSt Focused Multicap 35 Fund Direct-Growth","Fund Return",5.93,7.64,13.86,35.54,NA,NA,NA,"Healthcare",11.99,152.72,"Motilal"
"15",60,"Motilal Oswal MOSt Focused Multicap 35 Fund Direct-Growth","Fund Return",5.93,7.64,13.86,35.54,NA,NA,NA,"Technology",9.81,124.98,"Motilal"
"16",61,"Motilal Oswal MOSt Focused Multicap 35 Fund Regular-Growth","Fund Return",5.9,7.52,13.45,34.58,NA,NA,NA,"Financial",29.42,374.91,"Motilal"
"17",61,"Motilal Oswal MOSt Focused Multicap 35 Fund Regular-Growth","Fund Return",5.9,7.52,13.45,34.58,NA,NA,NA,"Automobile",14.83,189.01,"Motilal"
"18",61,"Motilal Oswal MOSt Focused Multicap 35 Fund Regular-Growth","Fund Return",5.9,7.52,13.45,34.58,NA,NA,NA,"FMCG",14.81,188.77,"Motilal"
"19",61,"Motilal Oswal MOSt Focused Multicap 35 Fund Regular-Growth","Fund Return",5.9,7.52,13.45,34.58,NA,NA,NA,"Healthcare",11.99,152.72,"Motilal"
"20",61,"Motilal Oswal MOSt Focused Multicap 35 Fund Regular-Growth","Fund Return",5.9,7.52,13.45,34.58,NA,NA,NA,"Technology",9.81,124.98,"Motilal"
"21",139,"Motilal Oswal MOSt Shares NASDAQ-100 Exchange Traded Fund-Growth","Fund Return",0.55,6.12,3.55,12.57,20.02,28.35,NA,"Technology",29.97,20.59,"Motilal"
"22",139,"Motilal Oswal MOSt Shares NASDAQ-100 Exchange Traded Fund-Growth","Fund Return",0.55,6.12,3.55,12.57,20.02,28.35,NA,"Cons Durable",21.85,15.01,"Motilal"
"23",139,"Motilal Oswal MOSt Shares NASDAQ-100 Exchange Traded Fund-Growth","Fund Return",0.55,6.12,3.55,12.57,20.02,28.35,NA,"Services",15.36,10.55,"Motilal"
"24",139,"Motilal Oswal MOSt Shares NASDAQ-100 Exchange Traded Fund-Growth","Fund Return",0.55,6.12,3.55,12.57,20.02,28.35,NA,"Healthcare",14.25,9.79,"Motilal"
"25",139,"Motilal Oswal MOSt Shares NASDAQ-100 Exchange Traded Fund-Growth","Fund Return",0.55,6.12,3.55,12.57,20.02,28.35,NA,"FMCG",6.51,4.47,"Motilal"
"26",233,"Motilal Oswal MOSt Shares Midcap 100 Exchange Traded Fund-Growth","Fund Return",3.92,3.81,5.34,15.22,67.58,22.05,NA,"Financial",18.71,29.81,"Motilal"
"27",233,"Motilal Oswal MOSt Shares Midcap 100 Exchange Traded Fund-Growth","Fund Return",3.92,3.81,5.34,15.22,67.58,22.05,NA,"Healthcare",13.07,20.83,"Motilal"
"28",233,"Motilal Oswal MOSt Shares Midcap 100 Exchange Traded Fund-Growth","Fund Return",3.92,3.81,5.34,15.22,67.58,22.05,NA,"Automobile",12.21,19.46,"Motilal"
"29",233,"Motilal Oswal MOSt Shares Midcap 100 Exchange Traded Fund-Growth","Fund Return",3.92,3.81,5.34,15.22,67.58,22.05,NA,"Engineering",10.5,16.73,"Motilal"
"30",233,"Motilal Oswal MOSt Shares Midcap 100 Exchange Traded Fund-Growth","Fund Return",3.92,3.81,5.34,15.22,67.58,22.05,NA,"Energy",8.3,13.23,"Motilal"
"31",278,"Motilal Oswal MOSt Focused 25 Fund Direct-Growth","Fund Return",5.25,5.54,11.59,24.41,62.96,NA,NA,"Financial",32.29,88.03,"Motilal"
"32",278,"Motilal Oswal MOSt Focused 25 Fund Direct-Growth","Fund Return",5.25,5.54,11.59,24.41,62.96,NA,NA,"Automobile",24.31,66.26,"Motilal"
"33",278,"Motilal Oswal MOSt Focused 25 Fund Direct-Growth","Fund Return",5.25,5.54,11.59,24.41,62.96,NA,NA,"Technology",10.66,29.05,"Motilal"
"34",278,"Motilal Oswal MOSt Focused 25 Fund Direct-Growth","Fund Return",5.25,5.54,11.59,24.41,62.96,NA,NA,"FMCG",10.15,27.66,"Motilal"
"35",278,"Motilal Oswal MOSt Focused 25 Fund Direct-Growth","Fund Return",5.25,5.54,11.59,24.41,62.96,NA,NA,"Diversified",6.05,16.48,"Motilal"
"36",283,"Motilal Oswal MOSt Focused 25 Fund Regular-Growth","Fund Return",5.22,5.42,11.19,23.5,60.55,NA,NA,"Financial",32.29,88.03,"Motilal"
"37",283,"Motilal Oswal MOSt Focused 25 Fund Regular-Growth","Fund Return",5.22,5.42,11.19,23.5,60.55,NA,NA,"Automobile",24.31,66.26,"Motilal"
"38",283,"Motilal Oswal MOSt Focused 25 Fund Regular-Growth","Fund Return",5.22,5.42,11.19,23.5,60.55,NA,NA,"Technology",10.66,29.05,"Motilal"
"39",283,"Motilal Oswal MOSt Focused 25 Fund Regular-Growth","Fund Return",5.22,5.42,11.19,23.5,60.55,NA,NA,"FMCG",10.15,27.66,"Motilal"
"40",283,"Motilal Oswal MOSt Focused 25 Fund Regular-Growth","Fund Return",5.22,5.42,11.19,23.5,60.55,NA,NA,"Diversified",6.05,16.48,"Motilal"
"41",456,"Motilal Oswal MOSt Shares M50 Exchange Traded Fund-Growth","Fund Return",2.98,2.58,4.51,5.97,42.83,18.09,NA,"Financial",31.39,9.35,"Motilal"
"42",456,"Motilal Oswal MOSt Shares M50 Exchange Traded Fund-Growth","Fund Return",2.98,2.58,4.51,5.97,42.83,18.09,NA,"Technology",16.58,4.94,"Motilal"
"43",456,"Motilal Oswal MOSt Shares M50 Exchange Traded Fund-Growth","Fund Return",2.98,2.58,4.51,5.97,42.83,18.09,NA,"Energy",12.64,3.76,"Motilal"
"44",456,"Motilal Oswal MOSt Shares M50 Exchange Traded Fund-Growth","Fund Return",2.98,2.58,4.51,5.97,42.83,18.09,NA,"Automobile",8.99,2.68,"Motilal"
"45",456,"Motilal Oswal MOSt Shares M50 Exchange Traded Fund-Growth","Fund Return",2.98,2.58,4.51,5.97,42.83,18.09,NA,"FMCG",8.7,2.59,"Motilal"
"46",2150,"Motilal Oswal MOSt Ultra Short Term Bond Fund Direct-Growth","Fund Return",0.17,0.57,1.81,3.87,8.31,NA,NA,NA,NA,NA,"Motilal"
"47",2150,"Motilal Oswal MOSt Ultra Short Term Bond Fund Direct-Growth","Fund Return",0.17,0.57,1.81,3.87,8.31,NA,NA,NA,NA,NA,"Motilal"
"48",2150,"Motilal Oswal MOSt Ultra Short Term Bond Fund Direct-Growth","Fund Return",0.17,0.57,1.81,3.87,8.31,NA,NA,NA,NA,NA,"Motilal"
"49",2150,"Motilal Oswal MOSt Ultra Short Term Bond Fund Direct-Growth","Fund Return",0.17,0.57,1.81,3.87,8.31,NA,NA,NA,NA,NA,"Motilal"
"50",2150,"Motilal Oswal MOSt Ultra Short Term Bond Fund Direct-Growth","Fund Return",0.17,0.57,1.81,3.87,8.31,NA,NA,NA,NA,NA,"Motilal"
"51",2268,"Motilal Oswal MOSt Ultra Short Term Bond Fund Regular-Growth","Fund Return",0.16,0.51,1.63,3.49,7.49,NA,NA,NA,NA,NA,"Motilal"
"52",2268,"Motilal Oswal MOSt Ultra Short Term Bond Fund Regular-Growth","Fund Return",0.16,0.51,1.63,3.49,7.49,NA,NA,NA,NA,NA,"Motilal"
"53",2268,"Motilal Oswal MOSt Ultra Short Term Bond Fund Regular-Growth","Fund Return",0.16,0.51,1.63,3.49,7.49,NA,NA,NA,NA,NA,"Motilal"
"54",2268,"Motilal Oswal MOSt Ultra Short Term Bond Fund Regular-Growth","Fund Return",0.16,0.51,1.63,3.49,7.49,NA,NA,NA,NA,NA,"Motilal"
"55",2268,"Motilal Oswal MOSt Ultra Short Term Bond Fund Regular-Growth","Fund Return",0.16,0.51,1.63,3.49,7.49,NA,NA,NA,NA,NA,"Motilal"
"56",3213,"Motilal Oswal MOSt 10 Year Gilt Fund Direct-Growth","Fund Return",0.37,0.54,3.2,9.01,14.18,NA,NA,NA,NA,NA,"Motilal"
"57",3213,"Motilal Oswal MOSt 10 Year Gilt Fund Direct-Growth","Fund Return",0.37,0.54,3.2,9.01,14.18,NA,NA,NA,NA,NA,"Motilal"
"58",3213,"Motilal Oswal MOSt 10 Year Gilt Fund Direct-Growth","Fund Return",0.37,0.54,3.2,9.01,14.18,NA,NA,NA,NA,NA,"Motilal"
"59",3213,"Motilal Oswal MOSt 10 Year Gilt Fund Direct-Growth","Fund Return",0.37,0.54,3.2,9.01,14.18,NA,NA,NA,NA,NA,"Motilal"
"60",3213,"Motilal Oswal MOSt 10 Year Gilt Fund Direct-Growth","Fund Return",0.37,0.54,3.2,9.01,14.18,NA,NA,NA,NA,NA,"Motilal"
"61",3235,"Motilal Oswal MOSt 10 Year Gilt Fund-Growth","Fund Return",0.36,0.49,3.03,8.64,13.6,5.86,NA,NA,NA,NA,"Motilal"
"62",3235,"Motilal Oswal MOSt 10 Year Gilt Fund-Growth","Fund Return",0.36,0.49,3.03,8.64,13.6,5.86,NA,NA,NA,NA,"Motilal"
"63",3235,"Motilal Oswal MOSt 10 Year Gilt Fund-Growth","Fund Return",0.36,0.49,3.03,8.64,13.6,5.86,NA,NA,NA,NA,"Motilal"
"64",3235,"Motilal Oswal MOSt 10 Year Gilt Fund-Growth","Fund Return",0.36,0.49,3.03,8.64,13.6,5.86,NA,NA,NA,NA,"Motilal"
"65",3235,"Motilal Oswal MOSt 10 Year Gilt Fund-Growth","Fund Return",0.36,0.49,3.03,8.64,13.6,5.86,NA,NA,NA,NA,"Motilal"
